"","TAXKEY","HSE_NBR","SFX","DIR","STREET","STTYPE","UNIT_NBR","ZIP_CODE","LAND_USE","RCD_NBR","UPD_DATE","WARD","MAIL_ERROR_COUNT","MAIL_STATUS","RES_COM_FLAG"
"273080",3191171100,2535,"","N","PROSPECT","AV","213",532114132,8830,420783,90427,0,0,"","R"
"270144",380071000,11723,"","W","BROWN DEER","RD","103",532241447,8899,417298,90826,0,0,"","R"
"288986",3600645000,728,"","E","JUNEAU","AV","",532022709,8661,440108,40108,0,0,"","C"
"304076",2500319000,6114,"","W","CAPITOL","DR","102",532162147,6531,457876,90924,0,0,"","C"
"306048",1850518000,9326,"","W","SHERIDAN","AV","",532250000,8880,460061,100215,0,0,"N","C"
"240131",4060937110,328,"","S","70TH","ST","4",532141625,8830,321402,830813,0,0,"","R"
"259632",6231120000,4956,"","S","22ND","PL","",532212900,8810,404320,980512,0,0,"","R"
"266150",780122000,7850,"","N","107TH","ST","28",532243133,8830,412751,81013,0,0,"","R"
"282292",780134000,7934,"","N","107TH","ST","12",532243161,8830,432229,91009,0,0,"","R"
"314846",3910872000,1125,"","N","9TH","ST","108",532331432,8899,470001,170801,0,0,"V","R"
"230419",4180112000,225,"","S","76TH","ST","",532141544,8830,310897,830813,0,0,"","R"
"168597",3870716000,3620,"","W","KILBOURN","AV","25",532083321,8830,242899,830813,0,0,"","R"
"280754",3110301000,1407,"","W","BURLEIGH","ST","",532062213,8899,430447,150529,0,0,"C","R"
"219921",1900816000,5525,"","N","53RD","ST","",532183324,8810,299962,830813,0,0,"","R"
"181868",5050301000,731,"","E","RUSSELL","AV","",532072143,8820,257885,830813,0,0,"","R"
"209799",4360285000,1127,"","S","36TH","ST","",532151415,8820,289449,830813,0,0,"","R"
"290415",5390703000,3131,"","S","CLEMENT","AV","",532070000,7523,441666,40216,0,0,"N","C"
"199810",6440104000,5112,"","S","21ST","ST","",532213534,8810,278134,830813,0,0,"","R"
"275095",3600501000,922,"","E","KNAPP","ST","23",532022825,8830,423318,981118,0,0,"","R"
"299978",440021100,7300,"","W","DEAN","RD","2120",532232640,8890,453240,71226,0,0,"","C"
"273841",3501353000,2502,"","W","LISBON","AV","",532051447,8899,421781,981111,0,0,"","R"
"193595",2440906000,4211,"","N","14TH","ST","",532096940,8820,271087,830813,0,0,"","R"
"200006",3101334100,2854,"","N","22ND","ST","",532061641,8810,278405,951009,0,0,"","R"
"189984",3120306100,3050,"","N","10TH","ST","",532063228,8810,267208,861013,0,0,"","R"
